movieId,title,genres,total_ratings,mean_score
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,215.0,3.9209302325581397
2,Jumanji (1995),Adventure|Children|Fantasy,110.0,3.4318181818181817
3,Grumpier Old Men (1995),Comedy|Romance,52.0,3.2596153846153846
6,Heat (1995),Action|Crime|Thriller,102.0,3.946078431372549
7,Sabrina (1995),Comedy|Romance,54.0,3.185185185185185
10,GoldenEye (1995),Action|Adventure|Thriller,132.0,3.496212121212121
11,"American President, The (1995)",Comedy|Drama|Romance,70.0,3.6714285714285713
16,Casino (1995),Crime|Drama,82.0,3.926829268292683
17,Sense and Sensibility (1995),Drama|Romance,67.0,3.7761194029850746
19,Ace Ventura: When Nature Calls (1995),Comedy,88.0,2.727272727272727
21,Get Shorty (1995),Comedy|Crime|Thriller,89.0,3.49438202247191
25,Leaving Las Vegas (1995),Drama|Romance,76.0,3.625
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,177.0,3.983050847457627
34,Babe (1995),Children|Drama,128.0,3.65234375
36,Dead Man Walking (1995),Crime|Drama,67.0,3.8358208955223883
39,Clueless (1995),Comedy|Romance,104.0,3.293269230769231
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,203.0,3.9753694581280787
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,68.0,3.1470588235294117
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,204.0,4.237745098039215
62,Mr. Holland's Opus (1995),Drama,80.0,3.70625
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,55.0,3.5090909090909093
95,Broken Arrow (1996),Action|Adventure|Thriller,84.0,3.0238095238095237
104,Happy Gilmore (1996),Comedy,99.0,3.4393939393939394
110,Braveheart (1995),Action|Drama|War,237.0,4.031645569620253
111,Taxi Driver (1976),Crime|Drama|Thriller,104.0,4.105769230769231
141,"Birdcage, The (1996)",Comedy,86.0,3.494186046511628
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,51.0,3.2450980392156863
150,Apollo 13 (1995),Adventure|Drama|IMAX,201.0,3.845771144278607
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,137.0,2.9160583941605838
158,Casper (1995),Adventure|Children,62.0,2.806451612903226
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,57.0,2.8771929824561404
161,Crimson Tide (1995),Drama|Thriller|War,103.0,3.6359223300970873
163,Desperado (1995),Action|Romance|Western,66.0,3.5606060606060606
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,144.0,3.5555555555555554
168,First Knight (1995),Action|Drama|Romance,54.0,3.0833333333333335
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,53.0,2.6792452830188678
173,Judge Dredd (1995),Action|Crime|Sci-Fi,62.0,2.6693548387096775
185,"Net, The (1995)",Action|Crime|Thriller,112.0,3.0401785714285716
208,Waterworld (1995),Action|Adventure|Sci-Fi,115.0,2.9130434782608696
223,Clerks (1994),Comedy,104.0,3.855769230769231
225,Disclosure (1994),Drama|Thriller,52.0,3.5384615384615383
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,133.0,3.0601503759398496
235,Ed Wood (1994),Comedy|Drama,70.0,3.6785714285714284
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,109.0,3.458715596330275
